slidename,mu1,mu2,mu3,sigma1,sigma2,sigma3
TCGA-3M-AB46-01Z-00-DX1.70F638A0-BDCB-4BDE-BBFE-6D78A1A08C5B.svs,8.820741932456535,-0.10414294568709107,0.03443172878024484,0.40534413473765785,0.08693717145145559,0.025392408303079827
TCGA-3M-AB47-01Z-00-DX1.D7D70922-A91F-4798-8D6E-DFD84D145A59.svs,8.851915555395031,-0.10033934358924994,0.03537235513634983,0.3666228456163422,0.07718420585681127,0.019770787345752543
TCGA-B7-5816-01Z-00-DX1.1B05F96A-D5E2-4366-A098-A861313F3461.svs,7.918346514366294,-0.12833454505169214,0.08362667421951492,0.8183215006968371,0.17213551938573482,0.03902358035657586
TCGA-BR-4366-01Z-00-DX1.1b5b7fce-bfbb-461d-9381-30eb37698b9e.svs,8.641036651635803,-0.15454300182936187,0.06276357837830715,0.41762348225513113,0.1250003293377444,0.03528489883764714
TCGA-BR-4368-01Z-00-DX1.ecfc8a41-c65e-4ac4-9b2e-c403ba184f02.svs,8.44756741074805,-0.12799596088196527,0.11684248682649817,0.3805923581599866,0.12102415602102809,0.037437364535027676
TCGA-BR-4191-01Z-00-DX1.6f25e7af-44be-41bc-85c4-22729d6ec585.svs,8.449664549173711,-0.11370833165733539,0.09079004965812965,0.3117060992075387,0.1022097736603403,0.033441834388358634
TCGA-BR-4255-01Z-00-DX1.7c99233e-2bf3-4130-9852-7e7b34784366.svs,8.271257203472619,-0.2143697582892369,0.09849515928667552,0.4189611457407109,0.1559127941280955,0.0476578356220224
TCGA-BR-4362-01Z-00-DX1.f12e9fd5-4d05-408b-8462-a2cc9a75edae.svs,8.436350940435682,-0.16383189386375704,0.09157942856183696,0.355166043738879,0.1246794770023032,0.030119151114402876
TCGA-BR-4183-01Z-00-DX1.25a55001-19e6-4f2a-ad84-f8a3a990cc2f.svs,8.685840185142494,-0.1577317600361053,0.06597224825666556,0.3502295135972017,0.10579899070922436,0.03210517764134017
TCGA-BR-4256-01Z-00-DX1.682c72f4-e392-4941-bf24-63dd7a4afecc.svs,8.568216688266798,-0.17944502888489125,0.06890155187722928,0.3865447806598129,0.12357265868423255,0.03011361506800032
TCGA-BR-4184-01Z-00-DX1.aa0818ba-92ea-4337-b9d3-c891161f5f9a.svs,8.504656737620222,-0.1495204982251879,0.0842129457523093,0.36630298819356366,0.12960240339301007,0.03657228853390144
TCGA-BR-4253-01Z-00-DX1.1541e883-de6a-4cd3-a6f5-6866fd5f3439.svs,8.320512408886575,-0.3113152544462406,0.08518073152893912,0.4084413242571931,0.1774986703012697,0.029372996673928828
TCGA-BR-4201-01Z-00-DX1.7e3cbcf2-eb0e-4582-b5e1-f31c8a9ee5b7.svs,8.891665404416347,-0.08419998007373858,0.027610421846849188,0.21993280349154842,0.07352817193553461,0.014248600338580924
TCGA-BR-4279-01Z-00-DX1.3d749e63-3614-4475-b840-5401640f13d8.svs,8.755102823643611,-0.15375432874970768,0.06630887672514996,0.3986925363760438,0.14807406069167836,0.03611081906398184
TCGA-BR-4357-01Z-00-DX1.63cd361b-d8a7-4a99-aed7-4355b32397f6.svs,8.332304684197013,-0.2801908046888556,0.10018432067394019,0.410873760824704,0.15665879646266956,0.03693828107471749
TCGA-BR-4187-01Z-00-DX1.5358ef4f-c9af-40d4-b366-48876a8503cc.svs,8.80201206185115,-0.06097885956551998,0.053868199831311456,0.2908256344253281,0.09027037283899202,0.026152606364057564
TCGA-BR-4257-01Z-00-DX1.fd97fe9a-2e87-455d-9555-38b6621433d1.svs,8.642566147789994,-0.16409426436300567,0.06275857656832956,0.41720989845640905,0.1278715822314451,0.03429043001165103
TCGA-BR-4267-01Z-00-DX1.74687868-fdfb-4b11-8c72-a42703b5d06d.svs,8.802521820916343,-0.12597659810582806,0.04160681347278857,0.23792926346925813,0.08140867325354718,0.01767325083722072
TCGA-BR-4361-01Z-00-DX1.427c9a42-7772-41d2-814e-3da7d9fffe34.svs,8.643343168327313,-0.20005344649687384,0.05756600307770682,0.4263958826608982,0.13356493424086388,0.03029983615560237
